# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cpu/cycles/P'
# Event count (approx.): 2174006282803
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.87%    99.17%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.85%--evaluate_packet
                       |          
                        --0.52%--0xffffffffaaa00f0b

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |          
             --0.52%--0xffffffffaaa00f0b

     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae0263a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0263d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad51769
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac094da7
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffac094da3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd844f6
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd84112
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac08442a
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae220d0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220d3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac08b417
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae96da5
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23daa
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac080e79
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaace7d93
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f3e
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae21abc
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21abf
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac07fdd4
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae02608
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0260f
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaad51767
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec491b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0945ee
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec382e
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaadf3f37
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0843dd
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c1e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0271b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a8423
     0.01%     0.00%  msfw     [unknown]             [k] 0xffffffffaae02713
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae73852
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee62c7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0205e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02478
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae6d149
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae6ce78
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b36
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbbba6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf2d55
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefef
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae4c46b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c0ec
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae4c467
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c03d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c04b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae23d95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee07b5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee60f6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01abd
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaf0e071
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaf0e075
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0bee6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c9c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ba5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4256
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae220e3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220e6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23d9d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefc6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0bef1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeca50e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0464ea7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83f8d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadfa7a3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec48ba
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83c82
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0952
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbba6b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee6ea4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec449b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b59
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf2a09
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee5e77
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ad2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadb8acc
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbc059
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026e4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee6f6f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaedd212
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21acf
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7bea
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5912
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeca33c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9040
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabd8358d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62c59
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecda85
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaecda7d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a83db
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee07bc
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0b971
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac065e33
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec903d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae022f4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab0a841f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae022f1
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab0a83d8
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac08af10
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a8429
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9b93
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23db2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c68
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecceee
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23d87
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23d32
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac065e1c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaade9e2e
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad98ea0
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae406d9
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00ef3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae4065f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae4065c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d6f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadebed7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec450b
