# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 301K of event 'cpu/cycles/P'
# Event count (approx.): 206289904472
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.46%    98.93%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.42%--evaluate_packet

     0.49%     0.46%  msfw     msfw                  [.] parse_packet
     0.35%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
     0.33%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833f7
     0.32%     0.00%  msfw     [unknown]             [.] 0xffffffffaad36646
     0.29%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c94
     0.26%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6da7
     0.22%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee09c7
     0.20%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b54
     0.16%     0.10%  msfw     msfw                  [.] main
     0.13%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef01d
     0.05%     0.00%  msfw     msfw                  [.] memcpy (inlined)
     0.05%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0118a
     0.04%     0.04%  msfw     [unknown]             [k] 0xffffffffaaa01188
     0.03%     0.03%  msfw     [unknown]             [k] 0xffffffffaaa015f0
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015f2
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026dc
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa011b9
     0.03%     0.03%  msfw     [unknown]             [k] 0xffffffffaaa011b2
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02738
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0a9c
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef04b
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f4e
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0847
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac45b
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7cbd
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0272c
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00ef0
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecceff
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0163
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5191d
     0.02%     0.02%  msfw     [unknown]             [k] 0xffffffffaad5191b
     0.02%     0.02%  msfw     [unknown]             [k] 0xffffffffaaa01268
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaedd25a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98eae
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefb7
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a847b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeca59f
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaac966f3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98a9e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98705
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833fc
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaca4505
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0123a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef06b
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae0263a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0263d
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaa01237
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaacf6623
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaacf6620
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015db
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae3dd70
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b42
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaa015d8
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaacf7a50
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6dd9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c5ad
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027dd
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae220d0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220d3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac080e79
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad51769
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01af4
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec615f
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0266b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0279a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ad0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac083407
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaad51767
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefef
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5af2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ab6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac06944b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d8c
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac094da3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac094da7
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0277e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02786
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c9c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c04b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0952
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac069442
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae24382
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae96da5
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21abc
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21abf
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6c32
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b36
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac0945ee
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7bea
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae02608
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0260f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaade99ba
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae4c467
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae4c46b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01ab2
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae220e3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220e6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad0c03d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaedd212
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ba5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec382e
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21acf
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ad2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9b7b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac07f84e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac07f851
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00e67
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad36449
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad3644c
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b59
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6ba3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec491b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee62c7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee60f6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c1e
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae025d1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026e4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec9b46
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9b49
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaa015e2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015ea
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecceee
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c68
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220f7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac08442a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac08b417
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d6f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac07fdd9
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae025d4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21ae1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ae3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f3e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec449b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbc059
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadbbba6
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c095
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c09b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef05d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae220f5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec48fc
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026d4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b0d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec6d65
